O,D,O행정동명,D행정동명,naver_p,naver_c,time_pt,time_car
1150055000,1150060300,화곡제2동,가양제1동,"https://map.naver.com/p/directions/14119094.836988728,4515193.399536213/14119363.450920016,4519154.040445458/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14119094.836988728,4515193.399536213/14119363.450920016,4519154.040445458/-/car?c=15.00,0,0,0,dh",26,16
1150060300,1150055000,가양제1동,화곡제2동,"https://map.naver.com/p/directions/14119363.450920016,4519154.040445458/14119094.836988728,4515193.399536213/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14119363.450920016,4519154.040445458/14119094.836988728,4515193.399536213/-/car?c=15.00,0,0,0,dh",24,18
1141056500,1129055500,충현동,삼선동,"https://map.naver.com/p/directions/14132962.607269641,4518108.861348756/14138836.402465245,4521170.148851808/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14132962.607269641,4518108.861348756/14138836.402465245,4521170.148851808/-/car?c=15.00,0,0,0,dh",41,27
1129077000,1111055000,장위제2동,부암동,"https://map.naver.com/p/directions/14143519.813818,4524847.644842738/14133915.613430323,4522524.55094715/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14143519.813818,4524847.644842738/14133915.613430323,4522524.55094715/-/car?c=15.00,0,0,0,dh",71,31
1111055000,1120066000,부암동,성수1가제2동,"https://map.naver.com/p/directions/14133915.613430323,4522524.55094715/14142449.098427758,4515900.02694654/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14133915.613430323,4522524.55094715/14142449.098427758,4515900.02694654/-/car?c=15.00,0,0,0,dh",65,37
1162076500,1162069500,미성동,신림동,"https://map.naver.com/p/directions/14128144.443673281,4505427.5313866995/14129549.974695984,4507237.6932231095/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14128144.443673281,4505427.5313866995/14129549.974695984,4507237.6932231095/-/car?c=15.00,0,0,0,dh",23,15
1162064500,1162076500,서원동,미성동,"https://map.naver.com/p/directions/14130188.102545006,4506234.1658569705/14128144.443673281,4505427.5313866995/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14130188.102545006,4506234.1658569705/14128144.443673281,4505427.5313866995/-/car?c=15.00,0,0,0,dh",21,11
1159064000,1159060500,사당제3동,흑석동,"https://map.naver.com/p/directions/14134275.999149816,4507488.996933092/14133467.118333865,4509770.34676472/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14134275.999149816,4507488.996933092/14133467.118333865,4509770.34676472/-/car?c=15.00,0,0,0,dh",35,16
1159060500,1159064000,흑석동,사당제3동,"https://map.naver.com/p/directions/14133467.118333865,4509770.34676472/14134275.999149816,4507488.996933092/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14133467.118333865,4509770.34676472/14134275.999149816,4507488.996933092/-/car?c=15.00,0,0,0,dh",36,18
1171069000,1171068000,잠실4동,잠실3동,"https://map.naver.com/p/directions/14149743.00749936,4511797.922746925/14148062.70657753,4511374.782011103/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14149743.00749936,4511797.922746925/14148062.70657753,4511374.782011103/-/car?c=15.00,0,0,0,dh",22,9
1171068000,1171069000,잠실3동,잠실4동,"https://map.naver.com/p/directions/14148062.70657753,4511374.782011103/14149743.00749936,4511797.922746925/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14148062.70657753,4511374.782011103/14149743.00749936,4511797.922746925/-/car?c=15.00,0,0,0,dh",20,11
1144074000,1135064000,상암동,상계2동,"https://map.naver.com/p/directions/14123419.688261641,4519076.292739496/14145017.049837222,4530960.002234555/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14123419.688261641,4519076.292739496/14145017.049837222,4530960.002234555/-/car?c=15.00,0,0,0,dh",90,52
1135058000,1123074000,월계3동,이문제1동,"https://map.naver.com/p/directions/14144824.355798658,4526580.494120388/14144438.97885348,4522705.638025085/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14144824.355798658,4526580.494120388/14144438.97885348,4522705.638025085/-/car?c=15.00,0,0,0,dh",28,16
1123074000,1135058000,이문제1동,월계3동,"https://map.naver.com/p/directions/14144438.97885348,4522705.638025085/14144824.355798658,4526580.494120388/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14144438.97885348,4522705.638025085/14144824.355798658,4526580.494120388/-/car?c=15.00,0,0,0,dh",23,12
1171057000,1168064000,오금동,역삼1동,"https://map.naver.com/p/directions/14152525.17100496,4509551.642642893/14141141.762327882,4509006.762184651/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14152525.17100496,4509551.642642893/14141141.762327882,4509006.762184651/-/car?c=15.00,0,0,0,dh",50,39
1168064000,1156054000,역삼1동,여의동,"https://map.naver.com/p/directions/14141141.762327882,4509006.762184651/14129727.885506168,4513018.479859606/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14141141.762327882,4509006.762184651/14129727.885506168,4513018.479859606/-/car?c=15.00,0,0,0,dh",64,39
1156054000,1171057000,여의동,오금동,"https://map.naver.com/p/directions/14129727.885506168,4513018.479859606/14152525.17100496,4509551.642642893/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14129727.885506168,4513018.479859606/14152525.17100496,4509551.642642893/-/car?c=15.00,0,0,0,dh",63,57
1138052000,1123065000,불광제1동,장안제1동,"https://map.naver.com/p/directions/14130497.225638993,4525501.109234188/14145217.391524803,4518343.345781483/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14130497.225638993,4525501.109234188/14145217.391524803,4518343.345781483/-/car?c=15.00,0,0,0,dh",66,43
1123065000,1138069000,장안제1동,진관동,"https://map.naver.com/p/directions/14145217.391524803,4518343.345781483/14130389.62421919,4529029.829459953/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14145217.391524803,4518343.345781483/14130389.62421919,4529029.829459953/-/car?c=15.00,0,0,0,dh",71,48
1144072000,1117055500,성산제1동,청파동,"https://map.naver.com/p/directions/14127636.437177043,4517821.961207206/14133903.557529468,4515840.880573917/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14127636.437177043,4517821.961207206/14133903.557529468,4515840.880573917/-/car?c=15.00,0,0,0,dh",49,28
1117055500,1144072000,청파동,성산제1동,"https://map.naver.com/p/directions/14133903.557529468,4515840.880573917/14127636.437177043,4517821.961207206/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14133903.557529468,4515840.880573917/14127636.437177043,4517821.961207206/-/car?c=15.00,0,0,0,dh",53,26
1168065000,1165052000,역삼2동,서초2동,"https://map.naver.com/p/directions/14142575.601897093,4508819.217675064/14140667.797331931,4507526.98875121/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14142575.601897093,4508819.217675064/14140667.797331931,4507526.98875121/-/car?c=15.00,0,0,0,dh",19,18
1165052000,1168065000,서초2동,역삼2동,"https://map.naver.com/p/directions/14140667.797331931,4507526.98875121/14142575.601897093,4508819.217675064/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14140667.797331931,4507526.98875121/14142575.601897093,4508819.217675064/-/car?c=15.00,0,0,0,dh",18,13
1159067000,1159066000,신대방제1동,대방동,"https://map.naver.com/p/directions/14127742.51351982,4507729.025324598/14129671.702559166,4509979.875200416/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14127742.51351982,4507729.025324598/14129671.702559166,4509979.875200416/-/car?c=15.00,0,0,0,dh",22,15
1159066000,1159067000,대방동,신대방제1동,"https://map.naver.com/p/directions/14129671.702559166,4509979.875200416/14127742.51351982,4507729.025324598/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14129671.702559166,4509979.875200416/14127742.51351982,4507729.025324598/-/car?c=15.00,0,0,0,dh",28,12
1162077500,1114067000,난곡동,황학동,"https://map.naver.com/p/directions/14128704.035621546,4504935.412291748/14139874.612564182,4518662.830607817/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14128704.035621546,4504935.412291748/14139874.612564182,4518662.830607817/-/car?c=15.00,0,0,0,dh",62,61
1114067000,1153054000,황학동,구로제3동,"https://map.naver.com/p/directions/14139874.612564182,4518662.830607817/14125797.739751766,4506964.570993717/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14139874.612564182,4518662.830607817/14125797.739751766,4506964.570993717/-/car?c=15.00,0,0,0,dh",59,53
1153076000,1153074000,개봉제3동,개봉제1동,"https://map.naver.com/p/directions/14121013.795766873,4507131.7949979585/14120219.987609973,4509137.393287733/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14121013.795766873,4507131.7949979585/14120219.987609973,4509137.393287733/-/car?c=15.00,0,0,0,dh",23,15
1153074000,1153076000,개봉제1동,개봉제3동,"https://map.naver.com/p/directions/14120219.987609973,4509137.393287733/14121013.795766873,4507131.7949979585/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14120219.987609973,4509137.393287733/14121013.795766873,4507131.7949979585/-/car?c=15.00,0,0,0,dh",23,14
1159067000,1154551000,신대방제1동,가산동,"https://map.naver.com/p/directions/14127742.51351982,4507729.025324598/14124938.353282839,4505587.463529507/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14127742.51351982,4507729.025324598/14124938.353282839,4505587.463529507/-/car?c=15.00,0,0,0,dh",32,17
1147052000,1165065100,목2동,양재1동,"https://map.naver.com/p/directions/14123614.430578833,4515048.793674246/14139574.461821156,4504814.89430338/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14123614.430578833,4515048.793674246/14139574.461821156,4504814.89430338/-/car?c=15.00,0,0,0,dh",83,38
1165065100,1147052000,양재1동,목2동,"https://map.naver.com/p/directions/14139574.461821156,4504814.89430338/14123614.430578833,4515048.793674246/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14139574.461821156,4504814.89430338/14123614.430578833,4515048.793674246/-/car?c=15.00,0,0,0,dh",80,42
1162060500,1168065500,은천동,도곡1동,"https://map.naver.com/p/directions/14131260.08697745,4507269.133915621/14142088.75723606,4507528.11251425/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14131260.08697745,4507269.133915621/14142088.75723606,4507528.11251425/-/car?c=15.00,0,0,0,dh",52,28
1168065500,1168061000,도곡1동,대치2동,"https://map.naver.com/p/directions/14142088.75723606,4507528.11251425/14144918.020018212,4509115.105427953/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14142088.75723606,4507528.11251425/14144918.020018212,4509115.105427953/-/car?c=15.00,0,0,0,dh",25,22
1168061000,1162060500,대치2동,은천동,"https://map.naver.com/p/directions/14144918.020018212,4509115.105427953/14131260.08697745,4507269.133915621/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14144918.020018212,4509115.105427953/14131260.08697745,4507269.133915621/-/car?c=15.00,0,0,0,dh",54,40
1156066000,1156051500,신길제4동,영등포본동,"https://map.naver.com/p/directions/14127896.9247855,4510013.94545483/14127520.019253572,4510907.319169531/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14127896.9247855,4510013.94545483/14127520.019253572,4510907.319169531/-/car?c=15.00,0,0,0,dh",13,5
1156051500,1156066000,영등포본동,신길제4동,"https://map.naver.com/p/directions/14127520.019253572,4510907.319169531/14127896.9247855,4510013.94545483/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14127520.019253572,4510907.319169531/14127896.9247855,4510013.94545483/-/car?c=15.00,0,0,0,dh",12,5
1144073000,1171064200,성산제2동,문정2동,"https://map.naver.com/p/directions/14126922.055476828,4518590.0484139025/14150960.1302839,4506144.908939742/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14126922.055476828,4518590.0484139025/14150960.1302839,4506144.908939742/-/car?c=15.00,0,0,0,dh",78,57
1171064200,1144073000,문정2동,성산제2동,"https://map.naver.com/p/directions/14150960.1302839,4506144.908939742/14126922.055476828,4518590.0484139025/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14150960.1302839,4506144.908939742/14126922.055476828,4518590.0484139025/-/car?c=15.00,0,0,0,dh",89,55
1162062500,1114062500,인헌동,다산동,"https://map.naver.com/p/directions/14133906.663343264,4504750.706504288/14138483.842505956,4516731.493942635/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14133906.663343264,4504750.706504288/14138483.842505956,4516731.493942635/-/car?c=15.00,0,0,0,dh",52,37
1114062500,1162062500,다산동,인헌동,"https://map.naver.com/p/directions/14138483.842505956,4516731.493942635/14133906.663343264,4504750.706504288/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14138483.842505956,4516731.493942635/14133906.663343264,4504750.706504288/-/car?c=15.00,0,0,0,dh",49,42
1165053100,1168053100,서초4동,논현2동,"https://map.naver.com/p/directions/14139773.011264933,4508916.594867816/14141598.817893181,4511162.751411186/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14139773.011264933,4508916.594867816/14141598.817893181,4511162.751411186/-/car?c=15.00,0,0,0,dh",31,19
1168053100,1165053100,논현2동,서초4동,"https://map.naver.com/p/directions/14141598.817893181,4511162.751411186/14139773.011264933,4508916.594867816/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14141598.817893181,4511162.751411186/14139773.011264933,4508916.594867816/-/car?c=15.00,0,0,0,dh",34,23
1147055000,1165058100,목5동,반포4동,"https://map.naver.com/p/directions/14124225.69703473,4514270.2100037355/14138114.195004826,4508980.885357978/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14124225.69703473,4514270.2100037355/14138114.195004826,4508980.885357978/-/car?c=15.00,0,0,0,dh",46,31
